site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,vote_p
高雄市阿蓮區,0.8108,0.5822,0.2655,0.1892,0.5005,0.0721,0.653,0.1712,0.3411,41.5144,41,0.4011,0.3758
高雄市大寮區,0.8337,0.6381,0.2735,0.1899,0.4738,0.1003,0.6452,0.1727,0.349,41.2052,41,0.3659,0.3294
高雄市大社區,0.8448,0.6548,0.2957,0.2114,0.4858,0.0969,0.6505,0.173,0.3461,41.5221,41.6988,0.4065,0.4928
高雄市大樹區,0.8162,0.6026,0.2577,0.1836,0.4862,0.0784,0.6456,0.159,0.3183,42.8125,43,0.5799,0.6574
高雄市鳳山二,0.8582,0.689,0.3495,0.2457,0.4915,0.0941,0.6427,0.1542,0.3563,39.6611,39.8213,0.2249,0.6355
高雄市鳳山一,0.8773,0.7345,0.4029,0.287,0.4828,0.0956,0.6438,0.1586,0.3406,40.7611,40.8703,0.336,0.5624
高雄市岡山區,0.8767,0.7044,0.3474,0.2472,0.4964,0.0844,0.6517,0.1664,0.3423,40.5224,40.063,0.3171,0.5192
高雄市鼓山區,0.8804,0.7414,0.4451,0.3296,0.4921,0.0973,0.6528,0.1344,0.3192,40.573,41,0.3198,0.468
高雄市湖內區,0.8307,0.6029,0.296,0.2056,0.5096,0.0787,0.6608,0.1545,0.3384,41.8029,41.7973,0.4472,0.6432
高雄市茄萣區,0.7787,0.4867,0.2235,0.17,0.4801,0.0706,0.6351,0.1474,0.3237,42.8075,42.9426,0.5772,0.4474
高雄市甲仙區,0.716,0.4222,0.1437,0.0966,0.4643,0.111,0.6867,0.1317,0.2806,45.874,47,0.8753,0.5593
高雄市林園區,0.8107,0.5979,0.2508,0.1722,0.476,0.0936,0.6426,0.1649,0.3526,40.4575,40,0.3035,0.569
高雄市苓雅區,0.8803,0.75,0.4436,0.3271,0.4787,0.0949,0.6432,0.1388,0.3085,43.7984,44,0.6992,0.6735
高雄市六龜區,0.7194,0.4429,0.1426,0.0927,0.4482,0.1217,0.6791,0.1342,0.2616,46.2427,48,0.8835,0.561
高雄市路竹區,0.8123,0.6334,0.3287,0.2323,0.528,0.064,0.667,0.1566,0.3399,40.9709,40.55,0.3469,0.4776
高雄市茂林區,0.8132,0.5513,0.1739,0.1057,0.3921,0.1033,0.5882,0.2243,0.3848,36.4449,36,0.019,0.6526
高雄市美濃區,0.8088,0.6426,0.2473,0.1569,0.5287,0.0875,0.7179,0.1332,0.2555,47.5694,50,0.9621,0.3084
高雄市彌陀區,0.7782,0.5655,0.2246,0.157,0.5063,0.075,0.6681,0.1514,0.3252,42.0798,42,0.4851,0.5856
高雄市那瑪夏區,0.7731,0.5145,0.1842,0.1287,0.4804,0.0717,0.6455,0.2055,0.4317,34.5635,33.6346,0.0027,0.6861
